Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
,France,46.2276,2.2137,2020-04-14,28805,FRA,150,155,
,France,46.2276,2.2137,2020-04-13,27718,FRA,150,155,
,France,46.2276,2.2137,2020-04-12,27186,FRA,150,155,
,France,46.2276,2.2137,2020-04-11,26391,FRA,150,155,
,France,46.2276,2.2137,2020-04-10,24932,FRA,150,155,
,France,46.2276,2.2137,2020-04-09,23206,FRA,150,155,
,France,46.2276,2.2137,2020-04-08,21254,FRA,150,155,
,France,46.2276,2.2137,2020-04-07,19337,FRA,150,155,
,France,46.2276,2.2137,2020-04-06,17250,FRA,150,155,
,France,46.2276,2.2137,2020-04-05,16183,FRA,150,155,
,France,46.2276,2.2137,2020-04-04,15438,FRA,150,155,
,France,46.2276,2.2137,2020-04-03,14008,FRA,150,155,
,France,46.2276,2.2137,2020-04-02,12428,FRA,150,155,
,France,46.2276,2.2137,2020-04-01,10934,FRA,150,155,
,France,46.2276,2.2137,2020-03-31,9444,FRA,150,155,
,France,46.2276,2.2137,2020-03-30,7927,FRA,150,155,
,France,46.2276,2.2137,2020-03-29,7202,FRA,150,155,
,France,46.2276,2.2137,2020-03-28,5700,FRA,150,155,
,France,46.2276,2.2137,2020-03-27,5700,FRA,150,155,
,France,46.2276,2.2137,2020-03-26,4948,FRA,150,155,
,France,46.2276,2.2137,2020-03-25,3900,FRA,150,155,
,France,46.2276,2.2137,2020-03-24,3243,FRA,150,155,
,France,46.2276,2.2137,2020-03-23,2200,FRA,150,155,
,France,46.2276,2.2137,2020-03-22,2200,FRA,150,155,
,France,46.2276,2.2137,2020-03-21,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-20,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-19,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-18,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-17,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-16,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-15,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-14,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-13,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-12,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-11,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-10,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-09,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-08,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-07,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-06,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-05,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-04,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-03,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-02,12,FRA,150,155,
,France,46.2276,2.2137,2020-03-01,12,FRA,150,155,
,France,46.2276,2.2137,2020-02-29,12,FRA,150,155,
,France,46.2276,2.2137,2020-02-28,11,FRA,150,155,
,France,46.2276,2.2137,2020-02-27,11,FRA,150,155,
,France,46.2276,2.2137,2020-02-26,11,FRA,150,155,
,France,46.2276,2.2137,2020-02-25,11,FRA,150,155,
,France,46.2276,2.2137,2020-02-24,4,FRA,150,155,
,France,46.2276,2.2137,2020-02-23,4,FRA,150,155,
,France,46.2276,2.2137,2020-02-22,4,FRA,150,155,
,France,46.2276,2.2137,2020-02-21,4,FRA,150,155,
,France,46.2276,2.2137,2020-02-20,4,FRA,150,155,
,France,46.2276,2.2137,2020-02-19,4,FRA,150,155,
,France,46.2276,2.2137,2020-02-18,4,FRA,150,155,
,France,46.2276,2.2137,2020-02-17,4,FRA,150,155,
,France,46.2276,2.2137,2020-02-16,4,FRA,150,155,
,France,46.2276,2.2137,2020-02-15,4,FRA,150,155,
,France,46.2276,2.2137,2020-02-14,2,FRA,150,155,
,France,46.2276,2.2137,2020-02-13,2,FRA,150,155,
,France,46.2276,2.2137,2020-02-12,2,FRA,150,155,
,France,46.2276,2.2137,2020-02-11,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-10,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-09,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-08,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-07,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-06,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-05,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-04,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-03,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-02,0,FRA,150,155,
,France,46.2276,2.2137,2020-02-01,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-31,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-30,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-29,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-28,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-27,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-26,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-25,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-24,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-23,0,FRA,150,155,
,France,46.2276,2.2137,2020-01-22,0,FRA,150,155,
